sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
St. Ives Glowing Sheet Mask With Apricot,St. Ives,23 ml,150.0,,3,0,"Signature apricot extracts are now in a hydrating sheet mask. Inspired by Korean beauty trends, this mask is made for extra-thirsty skin. Try it during your next binge-watch-athon or flight—whenever you need a dose of instant glow! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-22 11:04:42
St. Ives Energizing Coconut & Coffee Face Scrub,St. Ives,170 gm,450.0,,4,0,"Energize dull, tired skin with the smell of fresh coffee beans and deeply exfoliating 100% natural walnut shell powder. This coffee face scrub will leave skin looking and feeling fresh. • Made with 100% natural exfoliates • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-22 11:04:43
St. Ives Revitalizing Sheet Mask With Blueberry & Chia Seed oil,St. Ives,23 ml,150.0,,5,0,"A superfood smoothie for your face. Inspired by Korean beauty trends, this sheet mask soaked in chia seed extracts for intense hydration in an instant. Use during your next TV binge sesh, on a plane, or whenever skin feels extra-thirsty! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-22 11:04:45
St. Ives Blackhead Clearing Green Tea Face Scrub,St. Ives,170 gm,450.0,,6,0,"Salicylic acid and bamboo powder packs a punch in this dermatologist-tested, blackhead scrub. This face scrub unclogs pores and calms redness for bump-free skin. • Contains 1% salicylic acid • Made with 100% natural exfoliants and extracts • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use: Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-22 11:04:46
St. Ives Acne Control Face Scrub Apricot,St. Ives,170 gm,450.0,,7,0,"Apricot face scrub for acne using salicylic acid will help you say goodbye to blemishes! This acne scrub will reduce breakouts and make your skin glow. • Contains 2% salicylic acid • Made with 100% natural exfoliants and extracts • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use: Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-22 11:04:47
Lux Soap Bar Soft Glow,Lux,100 gm,60.0,,1,240,,2023-02-22 11:06:27
Lux Soap Bar Velvet Glow,Lux,75 gm,45.0,,2,131,,2023-02-22 11:07:18
Lux Soap Bar Velvet Glow,Lux,150 gm,80.0,,3,112,,2023-02-22 11:07:53
Lux Soap Bar Soft Glow,Lux,150 gm,80.0,,4,113,,2023-02-22 11:08:25
Lux Soap Hypnotic Rose Value Pack,Lux,125 gm,150.0,,5,0,3 Units of Lux Hypnotic Rose Soap,2023-02-22 11:08:25
