sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Boost Chocolate Drink Jar,Boost,400 gm,400.0,381.0,2,5,"It's not just nutrition, it's intelligent nutrition. Boost Chocolate Jar is an excellent source of many key nutrients. Each drink offers unique nutritional solutions that help to meet a wide variety of dietary needs. Discover the health benefits of each Boost Drink, and how they can help keep you at your best.",2023-02-21 12:20:24
Boost Iced Coffee Caffe Latte,Boost,250 ml,260.0,,5,50,,2023-02-21 12:20:44
Pepsodent Toothpaste Germi Check +,Pepsodent,200 gm,160.0,,1,63,"For strong, white teeth, get the Germi Check Toothpaste from Pepsodent. The superior germ attack power helps fight cavity-causing germs even hours after Brushing and the advanced formula gives you complete oral care solution. Formulated with fluoride and triclosan, this toothpaste ensures that you have a long-lasting fresh breath. It reduces stains and food remains, giving you plaque-free and germ-free teeth. Along with maintaining your teeth's health, this toothpaste prevents your gums from damage too. The perfect oral care solution for your family. Start Shopping Now!",2023-02-21 12:21:41
Pepsodent Toothpaste Charcoal White,Pepsodent,90 gm,75.0,,2,98,,2023-02-21 12:22:03
Pepsodent Toothpaste Germi Check +,Pepsodent,100 gm,100.0,,3,126,"For strong, white teeth, get the Germi Check Toothpaste from Pepsodent. The superior germ attack power helps fight cavity-causing germs even hours after Brushing and the advanced formula gives you complete oral care solution. Formulated with fluoride and triclosan, this toothpaste ensures that you have a long-lasting fresh breath. It reduces stains and food remains, giving you plaque-free and germ-free teeth. Along with maintaining your teeth's health, this toothpaste prevents your gums from damage too. The perfect oral care solution for your family. Start Shopping Now!",2023-02-21 12:22:37
Pepsodent Toothpaste Sensitive Expert Professional,Pepsodent,140 gm,135.0,,4,95,,2023-02-21 12:23:01
Pepsodent Toothpaste Charcoal White,Pepsodent,140 gm,110.0,,5,11,,2023-02-21 12:23:07
Pepsodent Toothpaste Sensitive Expert Fresh,Pepsodent,140 gm,160.0,149.0,7,5,,2023-02-21 12:23:12
Pepsodent Toothpaste Germi Check + (Free Toothbrush),Pepsodent,200 gm,140.0,,8,0,,2023-02-21 12:23:12
Pepsodent Toothpaste Kids Strawbery,Pepsodent,45 gm,75.0,,9,3,Pepsodent Toothpaste Kids Strawbery 45 gm,2023-02-21 12:23:17
