sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Pepsodent Toothbrush Gum Care Medium,Pepsodent,each,90.0,,11,26,,2023-02-21 12:23:29
Pepsodent Tooth Powder,Pepsodent,100 gm,50.0,,12,16,"It fights germs & protects teeth from decay. For strong teeth & freshness, use Pepsodent Toothpowder",2023-02-21 12:23:37
Pepsodent Awesome Orange Toothpaste,Pepsodent,45 gm,75.0,,13,43,Your kids will love the gentle formula of Pepsodent Kids Sweet Strawberry Toothpaste with strawberry flavor. This will protect their teeth from cavity and strengthen their enamel.,2023-02-21 12:23:52
Pepsodent Toothpaste Sensitive Expert Gum Care,Pepsodent,140 gm,180.0,,14,16,,2023-02-21 12:23:59
Pepsodent Toothpaste Sensitive Expert Professional 140 gm (Free Toothbrush 2 pcs),Pepsodent,2 pcs,270.0,,15,0,Buy Pepsodent Toothpaste Sensitive Expert Professional 140 gm 2 pcs And Get Pepsodent Toothbrush Himalaya Rock Salt Soft 2 pcs Free.,2023-02-21 12:24:00
Pepsodent Toothpaste Germi Check + (Free Toothbrush Triple clean 1 pcs),Pepsodent,200 gm,140.0,,17,0,Buy Pepsodent Toothpaste Germi Check + 200 gm And Get Toothbrush Triple clean 1 pcs Free.,2023-02-21 12:24:00
Pepsodent Toothpaste Sensitive Expert Professional (Free Toothbrush 1 pcs),Pepsodent,140 gm,135.0,,18,0,Buy Pepsodent Toothpaste Sensitive Expert Professional 140 gm And Get Pepsodent Toothbrush Himalaya Rock Salt Soft 1 pcs Free.,2023-02-21 12:24:01
Pepsodent Toothpaste Sensitive Expert Fresh (Free Toothbrush),Pepsodent,140 gm,160.0,,19,0,,2023-02-21 12:24:02
St. Ives Soothing Sheet Mask With Oatmeal,St. Ives,23 ml,150.0,,1,3,"Peace out, dehydrated skin! Inspired by Korean beauty trends, we put plenty of oatmeal extract into this 100% cotton sheet mask to give your face the instant moisture it craves, whenever it craves. The St. Ives Soothing Oatmeal Sheet Mask gently soothes your skin, leaving it soft and supple. Keep calm and soothe on! Give yourself this 10-minute #EverydayFacial and ditch the dull! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-21 12:25:28
St. Ives Acne Control Apricot Scrub,St. Ives,283 gm,699.0,,2,2,,2023-02-21 12:25:33
"St. Ives Glowing, Revitalizing & Soothing Sheet Mask (3x23ml) Combo Pack",St. Ives,3 pcs,450.0,,3,2,"St. Ives brings you an exclusive combo of three (3) St. Ives Sheet Masks 23ml: Glowing Sheet Mask with Apricot, Revitalizing Sheet Mask with Superfoods and Soothing Sheet Mask with Oatmeal. NOW SAVE BDT 51 St. Ives Glowing Sheet Mask with Apricot 23ml: Signature apricot extracts are now in a hydrating sheet mask. Inspired by Korean beauty trends, this mask is made for extra-thirsty skin. Try it during your next binge-watch-athon or flight—whenever you need a dose of instant glow! St. Ives Revitalizing Sheet Mask with Superfoods 23ml: A superfood smoothie for your face. Inspired by Korean beauty trends, this sheet mask soaked in chia seed extracts for intense hydration in an instant. Use during your next TV binge sesh, on a plane, or whenever skin feels extra-thirsty! St. Ives Soothing Sheet Mask with Oatmeal 23ml: Peace out, dehydrated skin! Inspired by Korean beauty trends, we put plenty of oatmeal extract into this 100% cotton sheet mask to give your face the instant moisture it craves, whenever it craves. The St. Ives Soothing Oatmeal Sheet Mask gently soothes your skin, leaving it soft and supple. Keep calm and soothe on!Give yourself this 10-minute #EverydayFacial and ditch the dull! Benefits: • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go! Limited stock available. So, hurry up, grab this combo today & SAVE BDT 51 .",2023-02-21 12:25:39
St. Ives Glowing Sheet Mask With Apricot,St. Ives,23 ml,150.0,,4,0,"Signature apricot extracts are now in a hydrating sheet mask. Inspired by Korean beauty trends, this mask is made for extra-thirsty skin. Try it during your next binge-watch-athon or flight—whenever you need a dose of instant glow! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-21 12:25:40
St. Ives Energizing Coconut & Coffee Face Scrub,St. Ives,170 gm,450.0,,5,0,"Energize dull, tired skin with the smell of fresh coffee beans and deeply exfoliating 100% natural walnut shell powder. This coffee face scrub will leave skin looking and feeling fresh. • Made with 100% natural exfoliates • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-21 12:25:42
St. Ives Revitalizing Sheet Mask With Blueberry & Chia Seed oil,St. Ives,23 ml,150.0,,6,0,"A superfood smoothie for your face. Inspired by Korean beauty trends, this sheet mask soaked in chia seed extracts for intense hydration in an instant. Use during your next TV binge sesh, on a plane, or whenever skin feels extra-thirsty! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-21 12:25:43
St. Ives Blackhead Clearing Green Tea Face Scrub,St. Ives,170 gm,450.0,,7,0,"Salicylic acid and bamboo powder packs a punch in this dermatologist-tested, blackhead scrub. This face scrub unclogs pores and calms redness for bump-free skin. • Contains 1% salicylic acid • Made with 100% natural exfoliants and extracts • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use: Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-21 12:25:44
St. Ives Acne Control Face Scrub Apricot,St. Ives,170 gm,450.0,,8,0,"Apricot face scrub for acne using salicylic acid will help you say goodbye to blemishes! This acne scrub will reduce breakouts and make your skin glow. • Contains 2% salicylic acid • Made with 100% natural exfoliants and extracts • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use: Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-21 12:25:45
Lux Soap Bar Soft Glow,Lux,100 gm,60.0,,1,240,,2023-02-21 12:27:07
Lux Soap Bar Velvet Glow,Lux,75 gm,45.0,,2,135,,2023-02-21 12:28:00
Lux Soap Bar Velvet Glow,Lux,150 gm,80.0,,3,112,,2023-02-21 12:28:36
Lux Soap Bar Soft Glow,Lux,150 gm,80.0,,4,109,,2023-02-21 12:29:12
Lux Soap Hypnotic Rose Value Pack,Lux,125 gm,150.0,,5,0,3 Units of Lux Hypnotic Rose Soap,2023-02-21 12:29:12
Lux Soap Bar Soft Touch,Lux,35 gm,15.0,,7,0,"Revel in irresistibly soft and perfumed skin. Want to feel irresistible every day? Revel in irresistibly fragranced skin with LUX Soft Touch Beauty Bar. Formulated with new breakthrough Floral FusionTM Oil, this fragrant body soap has twice the perfume bloom of real flowers that takes every shower to the next level. Exquisite heart notes of French Rose and white florals come together in a perfect symphony, enveloping you in a warm, floral cocoon that lingers after the shower.Luxuriate in the fine fragrance as you wind down for the night. Or when you’re getting ready to go in the morning. The subtle scent of French Rose lingers on your skin, making it the perfect fragrance for any occasion. LUX Soft Touch Beauty Bar is the perfumed soap bar that brings out your extraordinary every day, with every shower.Lather away and make it a pampering session. The lush bubbles soap up to a decadent cleanse that feels as if you are drifting on a bed of roses. Caressed with the velvety French rose petals, your delicately perfumed skin feels moisturized and silky-soft.The LUX Perfumed Bath Collection of Body Washes and Beauty Bars blend rich lather and sophisticated fragrances, crafted by the world’s best perfumers that help women feel fabulous, every day. Shop now!",2023-02-21 12:29:13
Lux Magical Spell Shower Cream (Thai),Lux,500 ml,749.0,,8,0,,2023-02-21 12:29:13
Lux Soap Bar Velvet Glow,Lux,100 gm,60.0,,9,78,,2023-02-21 12:29:37
Lux Soap Bar Soft Glow,Lux,35 gm,15.0,,11,0,,2023-02-21 12:29:37
Lux Body Wash French Rose And Almond Oil (Free Loofah),Lux,245 ml,200.0,,12,82,,2023-02-21 12:30:08
Lux Handwash Rose and Almond Oil Pump,Lux,200 ml,100.0,,13,6,,2023-02-21 12:30:18
Cif Wipes Ui Vn Antibac Citrus,Cif,60 pcs,220.0,,1,2,"99.9 percent bacteria elimination.Eliminates bacteria like salmonella, E.coli and listeria and flu viruses (H1N1).Cleans and disinfects in one wipe.Suitable for: sink, cooker, shower, fridge, toilet, bins and table.3 large and thick wipes.Tough dirt and scum.",2023-02-21 12:30:46
Cif Wipes Ui Vn Citrus Antibac,Cif,90 pcs,315.0,,2,15,international Unilever UK,2023-02-21 12:30:56
Cif Ultrafast Kitchen Clp 450 ml (Buy 1 Get 1 Free),Cif,2 pcs,280.0,,3,0,Buy Cif Ultrafast Kitchen Clp 450 ml And Get Cif Ultrafast Kitchen Clp 450 ml Free.,2023-02-21 12:30:56
Cif Trigger Pink Kitchen,Cif,700 ml,399.0,,4,0,"International, Unilever UK.",2023-02-21 12:30:57
Cif Cream Cleaner Lemon,Cif,500 ml,250.0,,5,0,"International, Unilever UK.",2023-02-21 12:30:58
Cif Pro Spray All Purpose Cleaner,Cif,520 ml,190.0,,6,0,"international Unilever, UK.",2023-02-21 12:30:58
Cif Spray Oven & Grill,Cif,435 ml,315.0,,7,0,"International, Unilever UK.",2023-02-21 12:30:59
Domex Toilet Cleaning Liquid Lime Fresh (Free Basket),Domex,750 ml,150.0,,1,52,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-21 12:31:48
Domex Toilet Cleaning Liquid Ocean Fresh (Free Basket),Domex,750 ml,150.0,,2,58,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-21 12:32:06
Domex Toilet Cleaning Liquid Lime Fresh (Free Toilet Brush),Domex,500 ml,120.0,,3,58,,2023-02-21 12:32:28
Domex Toilet Cleaning Powder,Domex,250 gm,35.0,,4,15,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance.",2023-02-21 12:32:38
Domex Toilet Cleaning Liquid Ocean Fresh (Free Toilet Brush),Domex,500 ml,120.0,,5,45,,2023-02-21 12:32:58
Domex Toilet Cleaning Liquid Lime Fresh 500 ml (Combo Pack),Domex,2 pcs,230.0,,7,2,,2023-02-21 12:33:04
Domex Toilet Cleaning Liquid Lime Fresh,Domex,500 ml,115.0,101.0,8,0,,2023-02-21 12:33:05
Domex Toilet Cleaning Powder,Domex,100 gm,15.0,,9,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-21 12:33:06
Domex Toilet Cleaning Liquid Ocean Fresh,Domex,750 ml,135.0,,11,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-21 12:33:06
Domex Toilet Cleaning Liquid Lime Fresh,Domex,750 ml,135.0,,12,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-21 12:33:07
Domex Toilet Cleaning Liquid Ocean Fresh,Domex,500 ml,115.0,101.0,13,0,,2023-02-21 12:33:08
Glucomax D Bib,GlucoMax,200 gm,99.0,,1,6,"GlucoMax D is a non-flavoured energy drink that can be used by children and adults alike. It helps in maintaining an active lifestyle for sports person, active business person or are a busy housewife. It is the energy drink made from glucose, which is the simplest form of sugar, and serves as an instant source of energy. The drink is also infused with minerals such as Calcium, Phosphorus & Vitamin D GlucoMax D is an easily digestible glucose drink which is a fast and effective provider of energy.",2023-02-21 12:33:27
Glow & Handsome Rapid Action Instant Brightness Facewash,Glow & Handsome,50 gm,140.0,,1,33,"Protect your skin from dust, dirt, and harmful sun exposure. Specially designed for the man of today, these Glow & Handsome max men's face wash is a must-have in your kit. Made from water, glycerin, and myristic acid, the face wash keeps your skin soft and smooth. The oil-free formula retains the natural moisture of the skin keeping it hydrated for hours together. Get a fairer skin tone with regular use of this face wash. Wash your face twice a day with Glow & Handsome Max Men Face Wash and notice a visible difference on your skin.",2023-02-21 12:35:51
Pureit Classic Microfibre Mesh,Pureit,each,200.0,,1,55,,2023-02-21 12:36:22
Pureit Classic Germ Kill Kit,Pureit,3000 ltr,1400.0,,3,62,"Pureit is a revolutionary innovation by Unilever to provide solution to the need of safe drinking water. It is world’s one of the most advanced in-home water purifier and first of its kind. Infact, it is world’s largest selling water purifier. Pureit uses advanced “4-Step GermKill Technology” to purify water. First, water passes through micro fiber mesh, which removes visible dirt and other material in the water. Second, it passes through the activated carbon trap, which stops all harmful parasites and other objects not visible to naked eye. At the third step, it passes through the germ kill processor that kills all the harmful virus and bacteria. Finally, the water passes through the polisher that removes any chlorine in the water and other unwanted taste or odor causing elements.",2023-02-21 12:36:38
Pureit Classic Germ Kill Kit,Pureit,1500 ltr,800.0,,4,63,"Pureit is a revolutionary innovation by Unilever to provide solution to the need of safe drinking water. It is world’s one of the most advanced in-home water purifier and first of its kind. Infact, it is world’s largest selling water purifier. Pureit uses advanced “4-Step GermKill Technology” to purify water. First, water passes through micro fiber mesh, which removes visible dirt and other material in the water. Second, it passes through the activated carbon trap, which stops all harmful parasites and other objects not visible to naked eye. At the third step, it passes through the germ kill processor that kills all the harmful virus and bacteria. Finally, the water passes through the polisher that removes any chlorine in the water and other unwanted taste or odor causing elements.",2023-02-21 12:36:56
Pureit Classic Blue Water Purifier,Pureit,23 ltr,4999.0,,5,63,,2023-02-21 12:37:16
Pureit Pedestal Stand,Pureit,each,230.0,,6,4,,2023-02-21 12:37:21
Vaseline Mosquito Defence Lotion,Vaseline,50 ml,99.0,,1,141,"Vaseline® Mosquito Defence 50 ml is designed to nourish your skin and provide relief from mosquitoes for up to 8 hours. Enriched with Vaseline Jelly, it's dermatologically tested to be suitable for both mother and children 2 months or above. * Safe for pregnant women and children aged above 2 month. * Gives protection from dengue, chikungunya, and malaria. * Contains Vaseline Jelly. * Protection from mosquito upto 8 hrs. * Does not contain alcohol, fragrance & preservative.",2023-02-21 12:38:45
Vaseline Mosquito Defence Lotion,Vaseline,100 ml,200.0,,2,42,"Vaseline® Mosquito Defence 100 ml is designed to nourish your skin and provide relief from mosquitoes for up to 8 hours. Enriched with Vaseline Jelly, it's dermatologically tested to be suitable for both mother and children 2 months or above. * Safe for pregnant women and children aged above 2 month. * Gives protection from dengue, chikungunya, and malaria. * Contains Vaseline Jelly. * Protection from mosquito upto 8 hrs. * Does not contain alcohol, fragrance & preservative.",2023-02-21 12:39:00
Vaseline Lotion Deep Restore,Vaseline,100 ml,160.0,,3,57,"Healing micro-droplets of Vaseline® Jelly combined with a fast-absorbing non-greasy moisturizing formula, the result is a lotion that moisturizes to heal very dry skin, leaving it looking and feeling healthier. We believe healthy skin starts with deep-restoring moisture. Our Intensive Care Deep Restore Lotion is infused with multi-layer moisture and nutrients which penetrate the skin deep down* absorbing quickly to leave your skin feeling healthy, soft, and smooth.",2023-02-21 12:39:19
Vaseline Lotion Aloe Fresh,Vaseline,200 ml,280.0,,4,5,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Aloe vera extract enriched body lotion. • Non sticky lotion • Feather-light formula with non greasy feel • Instantly absorbs 5 layers deep for healthy soft skin Ingredients: Water, Glycerin, Palmitic Acid (And) Stearic Acid, Glycol Stearate (And) Stearamide Amp, Isopropyl Palmitate, Petrolatum, Triethanolamine, Glyceryl Stearate, Aloe Barbadensis Leaf Juice, Menthol, Cetyl Alcohol, Dimethicone, Titanium Dioxide, Carbomer, Tapioca Starch, Phenoxyethanol, Methyl Paraben, Propyl Paraben, Perfume, Disodium Edta, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool.",2023-02-21 12:39:24
Vaseline Blueseal Vitamin E Jelly,Vaseline,50 ml,205.0,,5,3,,2023-02-21 12:39:28
Vaseline Lotion Deep Restore,Vaseline,400 ml,850.0,,7,100,"Origin: Singapore Manufacturer: Unilever Ltd. Vaseline intensive care deep restore body lotion is designed to penetrate the outermost layer of the skin to help heal dry skin for long periods of time. Vaseline intensive care deep restore body lotion is formulated glycerine, to restore moisture to the skin, and micro-droplets of Vaseline jelly, which is effective in locking moisturise in skin. Its deeply moisturizing formula provides effective, long-lasting moisturization. Clinically proven to restore dry skin. Water, Mineral Oil, Glycerin, Cetostearyl Alcohol, Petrolatum, Avena Sativa (Oat) Straw Extract, Sodium Cetostearyl Sulphate, Glyceryl Stearate, Paraffin, Dimethicone, Microcrystalline Wax, Sodium Carboxy Methyl Cellulose, Methyl Paraben, Phenoxyethanol, Propyl Paraben, Simethicone, Disodium Edta, Soyabean Oil, Bht, Perfume, Alpha-isomethyl Ionone, Amyl Cinnamal, Butylphenyl Methylpropional, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool.",2023-02-21 12:40:05
Vaseline Lotion Healthy Bright,Vaseline,200 ml,280.0,,8,26,Origin: Bangladesh Manufacturer: Unilever ltd. Vaseline lotion is specially formulated with Triple sunscreens and vitamin B3 that work together to help protect from the sun and make your skin look brighter in 2 weeks. It contains micro-droplets of vaseline jelly which that helps heal damage from deep within. Triple sunscreens protect your skin from UVA and UVB. Vitamin B3 inhibits melanin transfer-making skin look brighter.,2023-02-21 12:40:16
Vaseline Lotion Healthy Bright,Vaseline,300 ml,380.0,,9,64,Origin: Bangladesh Manufacturer: Unilever ltd. Vaseline lotion is specially formulated with Triple sunscreens and vitamin B3 that work together to help protect from the sun and make your skin look brighter in 2 weeks. It contains micro-droplets of vaseline jelly which that helps heal damage from deep within. Triple sunscreens protect your skin from UVA and UVB. Vitamin B3 inhibits melanin transfer-making skin look brighter.,2023-02-21 12:40:42
Vaseline Lip Therapy Aloe Vera,Vaseline,20 gm,185.0,,11,2,"Origin: UK Clinically proven to help heal dry lips. • Vaseline® Lip Therapy® Aloe Tin is clinically proven to help heal dry lips • Instantly softens and soothers dry lips • Locks in moisture so lips feel better over time • Relieves dry, dull and cracked lips, while locking in moisture to help them heal • Fresh aloe scent delights your senses • Locks in moisture to help lips recover discomfort Ingredients: Petrolatum, Linalool, Aloe barbadensis leaf extract, Citronellol, Eugenol, Limonene, Isopropyl myristate, Aroma.",2023-02-21 12:40:47
Vaseline Blueseal Aloe Fresh Jelly,Vaseline,100 ml,389.0,,12,1,,2023-02-21 12:40:51
Vaseline Intensive Care Cocoa Glow Body Cream,Vaseline,75 ml,250.0,,13,2,"Healthy skin starts with deep moisturisation. In Vaseline Intensive Care Cocoa Glow Body Cream, micro-droplets of Vaseline® Jelly is combined with a fast-absorbing, non-greasy moisturising formula. The result is a body cream that moisturises to restore dry skin, leaving it looking and feeling rejuvenated. • With 100% pure cocoa butter, which is a natural fat that comes from the cocoa bean. butter from cocoa is known to help improve skin elasticity and promote healthy collagen production. Its emollience properties make it one of the best moisturisers for skin • Use Vaseline Intensive Care Cocoa Glow to get soft, glowing skin in just few days • Best Suited for: very dry and dull skin • Light sweet Cocoa fragrance keeps your skin feel fresh all day long • Provide fast-absorbing multi-purpose skin care and a luxurious, non-greasy feel. • Convenient container. Take anywhere How to Use: Step 1: Apply Vaseline Cream into your hands. Step 2: Spread across your body until fully absorbed, and reapply in the morning, at night, or as needed throughout the day Step 3: Pamper your soft & healthy skin with Vaseline Intensive Care Cocoa Glow Body Cream everyday.",2023-02-21 12:40:56
Vaseline Intensive Care Cocoa Radiant Gel Oil,Vaseline,200 ml,1450.0,,14,1,"Origin: UK Manufacturer: Unilever Limited With 100% pure cocoa and shea butters, heals dry skin for a natural glow. • With pure cocoa butter and replenishing oils for healthy-looking, glowing skin • Locks in moisture to help revitalize dry and dull-looking skin • Heals dry skin for glowing radiance with non-greasy, rich moisturization • Contains pure cocoa butter to moisturize dry skin and promote a natural glow • Contains microdroplets of Vaseline® Jelly to lock in moisture • Daily body lotion best for: dry skin, dull skin",2023-02-21 12:41:01
Vaseline Intensive Care Aloe Smoothe Body Lotion,Vaseline,400 ml,1049.0,1030.0,15,6,"Origin: UK Manufacturer: Unilever Ltd. • Vaseline® Intensive Care Aloe Soothe Body Lotion moisturises dry skin • Formulated with 100% Pure Aloe Vera Extract, known to calm and soothe dry irritated skin. • With micro-droplets of Vaseline® Jelly to lock in moisture and restore damaged skin from deep within* leaving your skin deeply moisturised • Fast absorbing lotion for a non-greasy feel • Best For: Dry skin, Stressed skin, Sunburn dryness Water, Glycerin, Stearic Acid, Glycol Stearate, Isopropyl Palmitate, Petrolatum, Aloe Barbadensis Leaf Juice, Glyceryl Stearate, Lactic Acid, Cetyl Alcohol, Dimethicone, Tapioca Starch, Triethanolamine, Carbomer, Perfume, Titanium Dioxide, Disodium Edta, Stearamide AMP, Potassium Sorbate, Phenoxyethanol, Methylparaben, Propylparaben",2023-02-21 12:41:07
